Start Time,End Time,Facility Code,Participant Code,Status,Reason,Outage (MW),Recovery Time (Minutes),Description,
12/28/2017 6:00,12/28/2017 10:00,DNHR_DENMARK_WF1,DNHR,Approved,Consequential,1.44,0,a network outage in Denmark caused the windfarm to trip at 6:26 am,
12/26/2017 9:00,12/26/2017 12:00,COLLGAR_WF1,COLLGAR,Approved,Forced,30,,Forced Outage - BS on Overhead line pole S-81 - CG10/11,
12/31/2017 9:00,12/31/2017 9:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.703,0,Under generation - ambient conditions,
12/31/2017 8:30,12/31/2017 8:30,AURICON_PNJ_U1,AURICON,Approved,Forced,5.085,0,Under generation - ambient conditions,
12/31/2017 8:00,12/31/2017 8:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.02,0,Under generation - ambient conditions,
12/30/2017 23:30,12/30/2017 23:30,AURICON_PNJ_U1,AURICON,Approved,Forced,5.79,0,Under generation - ambient conditions,
12/30/2017 23:00,12/30/2017 23:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.412,0,Under generation - ambient conditions,
12/30/2017 22:30,12/30/2017 22:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.735,0,Under generation - ambient conditions,
12/29/2017 23:30,12/29/2017 23:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.245,0,Under generation - ambient conditions,
12/29/2017 23:00,12/29/2017 23:00,AURICON_PNJ_U1,AURICON,Approved,Forced,3.962,0,Under generation - ambient conditions,
12/29/2017 22:30,12/29/2017 22:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.036,0,Under generation - ambient conditions,
12/28/2017 5:00,12/28/2017 5:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.472,0,Under generation - ambient conditions,
12/28/2017 4:30,12/28/2017 4:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.112,0,Under generation - ambient conditions,
12/27/2017 5:30,12/27/2017 5:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.088,0,Under generation - ambient conditions,
12/27/2017 5:00,12/27/2017 5:00,AURICON_PNJ_U1,AURICON,Approved,Forced,3.414,0,Under generation - ambient conditions,
